GeneSet	DESC	GeneSet,Genes
ASPA	ASPA	ASPA,ACY1,NAT8L,FOLH1,RIMKLB,ASS1,GOT1,ASNS,ASRGL1,RIMKLA,GOT2
ASPDH	ASPDH	ASPDH,GOT2,GOT1,GOT1L1,ASS1,NAT8L,ASPA,CAD,ASRGL1,IL4I1,ASNS
ASPG	ASPG	ASPG,ASRGL1,TASP1,ASNS,CSF3,KMT2A,SERPINC1,ABL1,SGK1,CHRNE,ALB
ASPH	ASPH	ASPH,TRDN,CASQ1,RYR2,CASQ2,RYR1,FKBP1B,F10,RYR3,JPH1,CALM3
ASPHD1	ASPHD1	ASPHD1,SEZ6L2,KCTD13,C16orf54,CDIPT,HIRIP3,YPEL3,DOC2A,C16orf92,INO80E,KIF22
ASPHD2	ASPHD2	ASPHD2,SRRD,TMEM53,ACBD6,B3GLCT,HPS4,FAM153B,FAM20B,SEZ6L,ZBED8,RBM33
ASPM	ASPM	ASPM,TOP2A,DLGAP5,KIF11,MCPH1,CENPF,KIF23,CENPE,NUF2,BUB1,KIF20A
ASPN	ASPN	ASPN,MATN3,TGFB1,OGN,FRZB,CILP,CTDSP2,OMD,POSTN,COL3A1,COL11A1
ASPRV1	ASPRV1	ASPRV1,CASP14,FLG2,BLMH,PNPLA1,NIPAL4,TGM1,CYSRT1,LOR,ELMOD3,FLG
ASPSCR1	ASPSCR1	ASPSCR1,VCP,NSFL1C,UBXN7,UBXN2A,NPLOC4,UBXN2B,UBXN6,UBXN10,FAF1,PRCC
ASRGL1	ASRGL1	ASRGL1,ASNS,ASPG,GOT1,GOT2,GOT1L1,ASS1,IL4I1,ASPA,CAD,NAT8L
ASS1	ASS1	ASS1,ASL,CPS1,NAGS,CAD,OAT,ASNS,NOS2,NOS3,NOS1,GOT2
ASTE1	ASTE1	ASTE1,TAF1B,USF3,TRMO,PCNX2,POC1B,ACVR2A,CASP5,HELQ,TUBGCP2,TGFBR2
ASTL	ASTL	ASTL,ZP2,FETUB,ZP1,ZP4,ZP3,SPACA3,CHRD,LYZL6,CRISP1,LYZL4
ASTN1	ASTN1	ASTN1,BRINP2,BRINP1,ZNF671,CNTN2,C2orf80,RXFP3,RELN,BRINP3,PCDH10,JAG1
ASTN2	ASTN2	ASTN2,MIPOL1,FRK,KIAA1328,ADAMTSL3,WDPCP,RPAP2,KPNA5,BLOC1S6,FBXO40,CNTN4
ASXL1	ASXL1	ASXL1,BAP1,EZH2,SUZ12,FOXK1,TET2,RBBP4,RNF2,BMI1,FOXK2,DNMT3A
ASXL2	ASXL2	ASXL2,BAP1,FOXK2,FOXK1,KDM1B,MBD6,ZNF462,MBD5,UCHL5,EZH2,ASXL1
ASXL3	ASXL3	ASXL3,BAP1,EZH2,ASXL2,BRD4,ASXL1,RNF2,ZNF292,SUZ12,YY1,RING1
ASZ1	ASZ1	ASZ1,PIWIL2,MOV10L1,TDRD1,CWC15,DDX4,TDRD12,TDRD9,TSG101,TDRKH,MAEL
ATAD1	ATAD1	ATAD1,GYPA,OPA1,ERVFRD-1,CYP1A1,TOMM70,PEX19,ANKZF1,PEX14,PEX3,PEX11B
ATAD2	ATAD2	ATAD2,ESR1,MCM4,TOP2A,HELLS,SMC4,NCOA3,TPX2,E2F1,GPD2,WDR76
ATAD2B	ATAD2B	ATAD2B,GPD2,SUPT16H,MYSM1,PSMD4,CEP350,PSMD6,UBR1,BRD9,PHIP,BTAF1
ATAD3A	ATAD3A	ATAD3A,PHB2,PHB,TSPO,HSPA9,HSPD1,POLRMT,VDAC1,ATAD3B,DENR,STAR
ATAD3B	ATAD3B	ATAD3B,NDUFAF1,ECSIT,PHB2,ATAD3A,TOB2,MRPS9,RAD51,HSPD1,SSBP1,DNAJC11
ATAD3C	ATAD3C	ATAD3C,ZNF714,LRRC69,GDPGP1,GOLGA6L9,ADAM18,ANAPC16,C5orf24,OPA3,GK5,ZNF430
ATAD5	ATAD5	ATAD5,RFC2,RFC4,RFC5,RFC3,WDR48,RAD17,WDHD1,RFC1,BRD4,PCNA
ATAT1	ATAT1	ATAT1,SIRT2,TTL,TTLL5,TTLL4,ELP3,KAT2A,KAT2B,MAP3K7,TTLL7,TTLL10
ATCAY	ATCAY	ATCAY,TTPA,KLC1,STUB1,GDAP1,PRUNE1,RAB6B,C1orf94,KLC2,KLC3,KLC4
ATE1	ATE1	ATE1,UBR2,UBR1,RGS4,RGS16,WDYHV1,NTAN1,ACTG1,ACTB,UBR4,VPS26B
ATF1	ATF1	ATF1,RPS6KA5,CREB1,ATF2,CREB3L2,CREB3,EWSR1,CREB3L4,CREB3L1,ATF4,CREB5
ATF2	ATF2	ATF2,JUN,MAPK14,MAPK8,MAPK11,CREBBP,FOS,CREB5,CREB1,MAPK13,IRF3
ATF3	ATF3	ATF3,JUN,FOS,JUND,ATF4,SMAD3,DDIT3,TP53,CEBPB,JUNB,MDM2
ATF4	ATF4	ATF4,CEBPB,DDIT3,EIF2AK3,ATF3,EIF2S1,EP300,CREBBP,TRIB3,PPP1R15A,CEBPG
ATF5	ATF5	ATF5,CEBPG,ATF6,CDC34,CREB3L2,BATF,EIF2S1,TRIB3,DISC1,DDIT3,GABBR1
ATF6	ATF6	ATF6,HSPA5,XBP1,VAPB,DDIT3,HSP90B1,EIF2AK3,ERN1,MBTPS1,WFS1,ATF6B
ATF6B	ATF6B	ATF6B,ATF4,ATF6,CREB1,DDIT3,WFS1,CREB3L2,CREB3L3,CREB3L1,CREB3L4,CREB3
ATF7	ATF7	ATF7,FOS,JUN,PTP4A1,FOSL2,JUNB,JUND,CREB5,SETDB1,ATF2,ATF7IP
ATF7IP	ATF7IP	ATF7IP,SETDB1,SUMO2,ARL14EP,MBD1,ATF7,SP1,DMRT1,ATF7IP2,SUMO1,GTF2E1
ATF7IP2	ATF7IP2	ATF7IP2,SETDB1,ARL14EP,ATF7IP,GTF2E2,GTF2E1,CDYL,SETDB2,MBD1,NBPF26,ATF7
ATG10	ATG10	ATG10,ATG12,ATG7,ATG5,IRGM,ATG13,ATG16L1,ATG3,RB1CC1,MAP1LC3A,GABARAPL2
ATG101	ATG101	ATG101,ATG13,RB1CC1,ULK1,ULK2,ATG14,PIK3C3,BECN1,PIK3R4,C9orf72,MTOR
ATG12	ATG12	ATG12,GABARAPL1,ATG3,DDX58,ATG10,MAVS,ATG5,GABARAPL2,ATG7,ATG16L1,WIPI2
ATG13	ATG13	ATG13,ATG101,RB1CC1,ULK1,ULK2,ATG14,GABARAPL1,GABARAPL2,BECN1,PIK3C3,ATG10
ATG14	ATG14	ATG14,RB1CC1,SNAP29,BECN2,STX17,PIK3R4,NRBF2,ULK1,PIK3C3,UVRAG,BECN1
ATG16L1	ATG16L1	ATG16L1,ATG3,NOD2,ATG5,RAB33B,WIPI2,NOD1,RB1CC1,ATG12,ATG7,GABARAPL1
ATG16L2	ATG16L2	ATG16L2,ATG5,ATG12,WIPI1,WIPI2,ATG3,RB1CC1,RAB33B,ATG16L1,ULK2,ATG9B
ATG2A	ATG2A	ATG2A,WIPI1,WIPI2,ULK1,ULK2,ATG2B,ATG9A,GABARAP,WDR45B,GABARAPL1,ATG9B
ATG2B	ATG2B	ATG2B,WIPI1,WIPI2,ULK2,ULK1,ATG2A,ATG9B,VPS13D,ATG9A,GSKIP,WDR45B
ATG3	ATG3	ATG3,GABARAPL2,ATG5,ATG12,ATG16L1,ATG7,GABARAP,GABARAPL1,MAP1LC3B,MAP1LC3A,CFLAR
ATG4B	ATG4B	ATG4B,GABARAPL2,GABARAP,MAP1LC3B,GABARAPL1,MAP1LC3A,MAP1LC3C,ATG3,ATG7,ULK1,ULK2
ATG4C	ATG4C	ATG4C,GABARAP,GABARAPL1,GABARAPL2,MAP1LC3B,ATG3,ATG7,ATG5,ATG12,ATG10,MAP1LC3C
ATG4D	ATG4D	ATG4D,GABARAPL1,GABARAPL2,GABARAP,ATG3,ATG7,ATG5,ATG12,MAP1LC3B,ATG10,MAP1LC3A
ATG5	ATG5	ATG5,DDX58,ATG3,TECPR1,GABARAPL1,ATG12,ATG16L1,ATG7,ATG16L2,GABARAPL2,MAVS
ATG7	ATG7	ATG7,ATG12,GABARAP,GABARAPL2,ATG5,ATG10,ATG3,GABARAPL1,MAP1LC3A,MAP1LC3B,FOXO1
ATG9A	ATG9A	ATG9A,ULK1,SUPT20H,ATG2A,ATG9B,WIPI1,ULK2,ATG16L1,ATG13,ATG14,MAP1LC3A
ATG9B	ATG9B	ATG9B,ATG9A,ULK2,ULK1,WIPI1,TMEM208,ATG2B,BECN1,MAP1LC3A,ATG12,ATG2A
ATIC	ATIC	ATIC,ADSL,GART,MTHFD1,SHMT1,PAICS,PPAT,SHMT2,MTHFD1L,MTHFD2,IMPDH2
ATL1	ATL1	ATL1,SPAST,REEP1,NIPA1,RTN1,RTN2,REEP5,RTN4,ZFYVE27,ARL6IP1,SSNA1
ATL2	ATL2	ATL2,SPAST,REEP1,RTN1,REEP5,SSNA1,ARL6IP1,CHMP1B,RTN2,RTN3,ZFYVE27
ATL3	ATL3	ATL3,SPAST,REEP1,RTN3,REEP5,GABARAP,GABARAPL1,GABARAPL2,RTN1,ARL6IP1,RTN4
ATM	ATM	ATM,BRCA1,CHEK2,MDC1,MSH6,TP53,MRE11,MSH2,NBN,ATR,TP53BP1
ATMIN	ATMIN	ATMIN,ATM,DYNLL1,CHEK2,UBR5,WRNIP1,DYNLL2,PPP2R5E,YTHDF1,NBN,CAPN13
ATN1	ATN1	ATN1,NR2E1,MAGI1,ATXN1,ATXN2,WWP1,HTT,BAIAP2,WDR5,WWP2,ATXN3
ATOH1	ATOH1	ATOH1,ASCL1,BARHL1,POU4F1,POU4F3,MUC6,MYO7A,SHH,MUC5AC,GFI1,TCF4
ATOH7	ATOH7	ATOH7,GDF11,POU4F2,VSX2,VSX1,FOXN4,PAX6,CRX,SIX6,PBLD,ISL1
ATOH8	ATOH8	ATOH8,PPP3CB,NEUROD1,VGLL3,PRRX2,COPZ2,MRGPRF,OLFML1,EFEMP2,ZNF219,SMAD6
ATOX1	ATOX1	ATOX1,ATP7B,CCS,COX17,SOD1,SOD3,SLC31A1,NDUFA5,COMMD1,SCO2,MRPS11
ATP10A	ATP10A	ATP10A,TMEM30A,ATP10B,ATP10D,ATP8A1,ATP11A,ATP8B1,MKRN3,UBE3A,SNRPN,MAGEL2
ATP10B	ATP10B	ATP10B,TMEM30A,ATP10A,ATP10D,ATP11A,ATP8A1,ATP8B1,TMEM30B,ATP11B,ATP8A2,ATP8B3
ATP10D	ATP10D	ATP10D,TMEM30A,ATP10A,ATP10B,ATP11A,ATP8A1,ATP8B1,TMEM30B,ATP8A2,ATP11B,ATP8B3
ATP11A	ATP11A	ATP11A,TMEM30A,ATP8A1,ATP10B,ATP10D,ATP8B1,ATP10A,TMEM30B,ATP11B,XKR8,ATP8A2
ATP11B	ATP11B	ATP11B,TMEM30A,TMEM30B,ATP11A,SCGB1A1,ATP8A1,ATP8A2,ATP10B,ATP8B3,ATP10D,ATP8B4
ATP12A	ATP12A	ATP12A,ATP4B,PPA1,ATP1B1,CYP2C19,GAST,TCIRG1,PPA2,ATP6V1B1,LHPP,ATP6V0A4
ATP13A1	ATP13A1	ATP13A1,PCNX3,VAC14,MSTO1,LRRK2,MOGS,YKT6,YJEFN3,ATAD1,E4F1,PGRMC2
ATP13A2	ATP13A2	ATP13A2,PARK7,SNCA,PINK1,FBXO7,GBA,VPS35,LRRK2,PLA2G6,PRKN,SLC6A3
ATP13A3	ATP13A3	ATP13A3,ATP7B,PSMB2,GDF2,TBX4,KCNK3,EIF2AK4,ACVRL1,BMPR2,AQP1,SLC18B1
ATP13A4	ATP13A4	ATP13A4,ZNF169,SLC38A4,FXYD2,SLC22A18,DUSP22,KIAA0319,GAK,OR2A2,AGPAT2,SPATA31A6
ATP13A5	ATP13A5	ATP13A5,PSMB2,ABCC9,C3orf20,GAK,MOCOS,FXYD2,H6PD,OR2C1,CLDN17,OR13F1
ATP1A1	ATP1A1	ATP1A1,ATP1B1,FXYD2,ATP1B3,ATP1B2,ATP1A3,MAPK1,FXYD1,MAPK3,ATP1A2,PRKG1
ATP1A2	ATP1A2	ATP1A2,ATP1B1,ATP1B2,ATP1A3,ATP1B3,FXYD2,FXYD1,CACNA1A,ATP1A4,ATP1A1,SCN1A
ATP1A3	ATP1A3	ATP1A3,ATP1B1,FXYD2,ATP1B3,ATP1B2,ATP1A2,ATP1A1,ATP1A4,FXYD1,MAPK1,MAPK3
ATP1A4	ATP1A4	ATP1A4,FXYD2,ATP1B1,ATP1B3,ATP1B2,ATP1A3,ATP1A2,MAPK1,MAPK3,FXYD1,PRKG1
ATP1B1	ATP1B1	ATP1B1,FXYD2,ATP1A1,ATP1A3,ATP1A2,ATP1A4,ATP1B2,ATP12A,ATP1B3,FXYD1,NKAIN1
ATP1B2	ATP1B2	ATP1B2,ATP1A2,ATP1A3,ATP1A1,ATP1A4,ATP1B1,FXYD2,ATP1B3,FXYD1,PRKG1,MAPK1
ATP1B3	ATP1B3	ATP1B3,ATP1A1,ATP1A3,ATP1A4,ATP1A2,FXYD2,ATP1B1,ATP1B2,FXYD1,MAPK3,MAPK1
ATP23	ATP23	ATP23,XRCC6,DCLRE1C,ERCC8,XRCC4,XRCC5,ERCC5,ERCC1,PRKDC,MSH2,ERCC4
ATP2A1	ATP2A1	ATP2A1,SLN,PLN,HRC,RYR1,ATP2A2,ATP2A3,KAT5,RORA,MYLPF,MYH2
ATP2A2	ATP2A2	ATP2A2,PLN,SLN,HRC,ATP2A1,ATP2A3,ITPR3,KAT5,RORA,RYR2,ATP1B1
ATP2A3	ATP2A3	ATP2A3,PLN,SLN,ATP2A2,HRC,ATP2A1,KAT5,RORA,TRAM2,STIM1,GTF3C1
ATP2B1	ATP2B1	ATP2B1,PRKACB,PRKACA,PRKACG,PRKG1,PRKG2,TRPV6,ATP2A2,CALM3,UBE3B,BSG
ATP2B2	ATP2B2	ATP2B2,PRKACB,PRKACA,PRKACG,PRKG1,PRKG2,CALM3,CDH23,CALML3,CALML5,CALML6
ATP2B4	ATP2B4	ATP2B4,CALM3,NOS1,PRKG1,CALM2,CALM1,PRKACA,PRKACB,PRKACG,PRKG2,PLN
ATP2C1	ATP2C1	ATP2C1,F7,CFL1,TMEM165,CFL2,PCSK9,ATP2B1,ATP2B2,ATP2B4,CCK,ITGAV
ATP2C2	ATP2C2	ATP2C2,CMIP,ORAI1,F7,DNAAF4,DCDC2,KIAA0319,NFXL1,ATP2B2,STIM1,ATP2B1
ATP4A	ATP4A	ATP4A,ATP4B,PPA1,CYP2C19,GAST,ATP6V1B1,TCIRG1,PPA2,LHPP,ATP6V0A4,ATP12A
ATP4B	ATP4B	ATP4B,ATP4A,ATP12A,PPA1,LHPP,PPA2,FXYD2,ATP1A2,ATP1A4,ATP1A3,ATP1A1
ATP6AP1L	ATP6AP1L	ATP6AP1L,ATP6V0B,ATP6V1H,ATP6V1E1,RNASEK,ATP6V0D2,ATP6V0D1,ATP6V1C2,ATP6V1C1,ATP6V1D,ATP6V0C
ATP6V0A1	ATP6V0A1	ATP6V0A1,ATP6V1F,ATP6V1B1,ATP6V1E1,ATP6V1A,ATP6V1H,ATP6V0D1,ATP6V0C,ATP6V0B,ATP6V0D2,ATP6V1C1
ATP6V0A2	ATP6V0A2	ATP6V0A2,ATP6V0D1,ATP6V0C,ATP6V0D2,ATP6V1F,ATP6V0B,ATP6V1D,ATP6V1B2,ATP6V1E1,ATP6V1H,ATP6V1B1
ATP6V0A4	ATP6V0A4	ATP6V0A4,ATP6V0D1,ATP6V0C,ATP6V0B,ATP6V0D2,ATP6V1F,ATP6V1B1,ATP6V1E1,ATP6V1A,ATP6V1B2,ATP6V1H
ATP6V0B	ATP6V0B	ATP6V0B,ATP6V1F,ATP6V0A4,ATP6V0A1,ATP6V1E1,ATP6V1A,ATP6V1B2,ATP6V1H,ATP6V0D1,ATP6V0C,ATP6V1C1
ATP6V0C	ATP6V0C	ATP6V0C,ATP6V1E1,ATP6V0A4,ATP6V0A1,ATP6V1F,ATP6V1B2,ATP6V1H,ATP6V1A,ATP6V0D2,ATP6V1C1,ATP6V0B
ATP6V0D1	ATP6V0D1	ATP6V0D1,ATP6V0A2,ATP6V1D,ATP6V0B,ATP6V0C,ATP6V1G1,ATP6V1H,ATP6V1B2,ATP6V1A,ATP6V1E1,ATP6V0A4
ATP6V0D2	ATP6V0D2	ATP6V0D2,ATP6V1D,ATP6V0C,ATP6V1B2,TCIRG1,ATP6V0A1,ATP6V0A4,ATP6V1B1,ATP6V1F,ATP6V1E1,ATP6V0A2
ATP6V0E1	ATP6V0E1	ATP6V0E1,ATP6V1D,ATP6V0B,ATP6V1F,ATP6V0C,ATP6V1H,ATP6V1A,ATP6V1C1,ATP6V0A1,RNASEK,ATP6V1B2
ATP6V0E2	ATP6V0E2	ATP6V0E2,ATP6V0B,ATP6V1H,ATP6V1F,ATP6V0C,ATP6V1A,ATP6V1C1,ATP6V1D,ATP6V1G2,ATP6V0D2,ATP6V1E1
ATP6V1A	ATP6V1A	ATP6V1A,ATP6V0A1,ATP6V0A4,ATP6V1B1,ATP6V1F,ATP6V1E1,ATP6V1B2,ATP6V1H,ATP6V0B,ATP6V0D1,ATP6V0C
ATP6V1B1	ATP6V1B1	ATP6V1B1,ATP6V1A,ATP6V0A1,ATP6V0A4,ATP6V1F,ATP6V1E2,ATP6V1E1,ATP6V1D,ATP6V0D1,ATP6V0D2,TCIRG1
ATP6V1B2	ATP6V1B2	ATP6V1B2,ATP6V1H,ATP6V1A,ATP6V1E1,ATP6V1F,ATP6V0A4,ATP6V1D,ATP6V1C1,ATP6V0D2,ATP6V0D1,ATP6V0C
ATP6V1C1	ATP6V1C1	ATP6V1C1,ATP6V1A,ATP6V1H,ATP6V1B2,ATP6V1F,ATP6V0A1,ATP6V1E1,ATP6V1D,ATP6V0C,ATP6V0B,ATP6V1B1
ATP6V1C2	ATP6V1C2	ATP6V1C2,ATP6V1E2,ATP6V1B1,ATP6V1D,ATP6V1B2,ATP6V1A,ATP6V1F,ATP6V1E1,ATP6V1G2,ATP6V1H,ATP6V1G1
ATP6V1D	ATP6V1D	ATP6V1D,ATP6V1B2,ATP6V1H,ATP6V1A,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1B1,ATP6V0A1,ATP6V0D2,ATP6V1C1
ATP6V1E1	ATP6V1E1	ATP6V1E1,ATP6V1C1,ATP6V0D2,ATP6V0D1,ATP6V0C,ATP6V1G1,ATP6V0B,ATP6V1D,ATP6V1B1,ATP6V1F,ATP6V0A1
ATP6V1E2	ATP6V1E2	ATP6V1E2,ATP6V1D,ATP6V1B1,ATP6V1B2,ATP6V1F,ATP6V1G2,ATP6V1C2,ATP6V0D1,ATP6V0D2,ATP6V1G1,ATP6V0A1
ATP6V1F	ATP6V1F	ATP6V1F,ATP6V1D,ATP6V0B,ATP6V0D1,ATP6V1G1,ATP6V0C,ATP6V1C1,ATP6V0D2,ATP6V1A,ATP6V1B2,ATP6V1H
ATP6V1G1	ATP6V1G1	ATP6V1G1,ATP6V1A,ATP6V1B2,ATP6V1F,ATP6V1E1,ATP6V1D,ATP6V0D1,ATP6V1H,ATP6V1B1,ATP6V0B,ATP6V1C1
ATP6V1G2	ATP6V1G2	ATP6V1G2,ATP6V1E1,ATP6V1A,ATP6V1F,ATP6V1B1,ATP6V0A1,ATP6V1E2,ATP6V1D,ATP6V1C1,ATP6V0B,ATP6V1C2
ATP6V1G3	ATP6V1G3	ATP6V1G3,ATP6V1F,ATP6V1D,ATP6V1E2,ATP6V1E1,ATP6V0B,ATP6V1H,ATP6V0D2,ATP6V0C,ATP6V0A4,ATP6V1B1
ATP6V1H	ATP6V1H	ATP6V1H,ATP6V1B2,ATP6V1A,ATP6V1E1,ATP6V1F,ATP6V0A4,ATP6V0A1,ATP6V1D,ATP6V1C1,ATP6V0D1,ATP6V0C
ATP7B	ATP7B	ATP7B,ATOX1,CCS,CP,COMMD1,SLC31A1,SLC31A2,GLRX,ATP13A3,MT1E,SLC30A4
ATP8A1	ATP8A1	ATP8A1,TMEM30A,GRXCR1,ATP11A,ATP10D,ATP10B,ATP10A,TMEM30B,ATP8B1,ACADM,ATP11B
ATP8A2	ATP8A2	ATP8A2,TMEM30A,TMEM30B,RNF6,WDR81,ATP11A,ATP11B,ATP10A,ATP10B,ATP10D,ATP8B3
ATP8B1	ATP8B1	ATP8B1,TMEM30A,TMEM30B,ABCB11,ABCB4,ATP11A,ATP10D,ATP10B,ATP10A,ATP8A1,NR1H4
ATP8B2	ATP8B2	ATP8B2,TMEM30A,TMEM30B,ATP8B4,ATP11A,ATP11B,ATP8A2,ATP8A1,ATP10A,ATP10B,ATP10D
ATP8B3	ATP8B3	ATP8B3,TMEM30A,TMEM30B,ATP11B,ATP11A,ATP8A1,ATP10D,ATP10B,ATP8A2,ATP10A,ATP8B2
ATP8B4	ATP8B4	ATP8B4,TMEM30B,TMEM30A,ATP8B2,ATP11B,ATP8A1,ATP11A,ATP8A2,ATP10D,ATP10A,ATP10B
ATP9A	ATP9A	ATP9A,TMEM30A,TMEM30B,MON2,NEO1,MYO1G,EFHC1,MICAL3,TRAPPC2L,RETREG3,FRMD4A
ATP9B	ATP9B	ATP9B,TMEM30A,TMEM30B,MON2,NEO1,ZNF407,UBE2G1,ATP10B,TXNL4A,ATP10D,SALL3
ATPAF1	ATPAF1	ATPAF1,ATPAF2,TMEM70,ATP23,ERAL1,COX11,ATP6V1E2,BCS1L,COQ5,NDUFAB1,NDUFB9
ATPAF2	ATPAF2	ATPAF2,ATPAF1,TMEM70,FMC1,NDUFAB1,SPG21,MRM1,EBF1,ATP23,DRG2,ECHS1
ATR	ATR	ATR,CHEK1,ATM,ATRIP,CHEK2,TP53,BRCA1,TOPBP1,RAD9A,HUS1,CDC7
ATRAID	ATRAID	ATRAID,SLC37A3,DDX54,FNDC4,NELL1,SNX17,SUMF2,EIF2B4,EPS8,MXRA7,OSTM1
ATRIP	ATRIP	ATRIP,ATR,RPA1,TOPBP1,ATM,RAD9A,CHEK1,RAD17,RPA2,MCM7,CLSPN
ATRN	ATRN	ATRN,MGRN1,MC4R,ASIP,RNF157,MC1R,ANKRD46,DPP4,CPE,AGRP,BTNL8
ATRNL1	ATRNL1	ATRNL1,RNF157,MC4R,MC1R,ANKRD46,ANKRD61,SLCO6A1,FAM160B1,TTR,ERC2,TRUB1
ATXN1	ATXN1	ATXN1,CIC,UBQLN4,KAT5,NCOR2,RBM17,ATXN1L,ATXN2,RBPJ,PUM2,ATXN3
ATXN10	ATXN10	ATXN10,SPTBN2,CACNA1A,ATXN7,TTBK2,IQCB1,PPP2R2B,KCNC3,ATXN2,PLEKHG4,NOP56
ATXN1L	ATXN1L	ATXN1L,ATXN1,RBPJ,KAT5,PUM2,RBPJL,CIC,NCOR2,RBM17,ETV5,ZNF821
ATXN2	ATXN2	ATXN2,PABPC1,ITPR1,RBFOX1,ATXN3,DDX6,TARDBP,LSM12,ATXN1,ATXN2L,G3BP1
ATXN2L	ATXN2L	ATXN2L,LSM12,ATXN2,DDX6,ATXN3,PABPC1,ITPR3,NUFIP2,ITPR1,ITPR2,G3BP2
ATXN3	ATXN3	ATXN3,VCP,RAD23A,RAD23B,PRKN,UBC,ITPR1,ATXN2,BECN1,STUB1,RPS27A
ATXN7	ATXN7	ATXN7,TAF12,TAF10,USP22,TAF9,TRRAP,ENY2,ATXN7L3,SUPT20H,SUPT3H,TADA1
ATXN7L1	ATXN7L1	ATXN7L1,ENY2,ATXN7L3,TAF9,USP22,KAT2B,KAT2A,TAF12,TRRAP,TAF6,TAF10
ATXN7L2	ATXN7L2	ATXN7L2,ATXN7L3,ENY2,KAT2B,TRRAP,TAF9,TAF12,USP22,KAT2A,SUPT3H,TAF6
ATXN7L3	ATXN7L3	ATXN7L3,ENY2,USP22,ATXN7,TRRAP,TADA3,TAF5L,SUPT20H,TAF12,KAT2A,TADA1
ATXN7L3B	ATXN7L3B	ATXN7L3B,ENY2,ATXN7,USP22,ODF3L1,CGGBP1,ATXN7L2,TADA3,TAF10,ATXN7L1,URB1
AUH	AUH	AUH,HMGCL,HMGCLL1,HADH,MCCC1,MCCC2,HMGCS1,HMGCS2,DNAJC19,OPA3,HSDL2
AUNIP	AUNIP	AUNIP,AURKA,DTL,MCM10,UHRF1,KIF2C,CDCA5,ANLN,EXO1,SKA3,CDT1
AUP1	AUP1	AUP1,UBE2G2,SEL1L,FAF2,DERL2,SYVN1,OS9,UBE2J1,VCP,DERL3,CANX
AURKA	AURKA	AURKA,TPX2,TACC3,MYCN,TP53,PLK1,CDC20,INCENP,BIRC5,NEDD9,CCNB2
AURKAIP1	AURKAIP1	AURKAIP1,MRPS15,MRPS31,MRPS11,MRPS21,MRPS34,DAP3,MRPS33,MRPS2,MRPS10,MRPS7
AURKB	AURKB	AURKB,BUB1B,BIRC5,INCENP,CDCA8,CDC20,BUB1,CDK1,CENPA,KIF2C,CCNA2
AURKC	AURKC	AURKC,INCENP,BIRC5,CDCA8,AURKB,CENPA,CCNA2,CDK1,NDC80,AURKA,CPEB1
AUTS2	AUTS2	AUTS2,PCGF5,RYBP,YAF2,CSNK2A2,PCGF6,PCGF3,CADPS2,RNF2,DCAF7,CSNK2B
AVEN	AVEN	AVEN,APAF1,BCL2L1,CASP9,FOCAD,DHX36,CYCS,ATM,BCL2,TTC7B,CASP8
AVIL	AVIL	AVIL,ACTR3,ALPP,ADH1A,SCN10A,ALMS1,COG6,TRPV1,SCN9A,VIL1,SH2D7
AVL9	AVL9	AVL9,DENND6A,DNM1L,DENND5A,RIC1,RAB11A,RAB30,ZNF688,RAB33B,MADD,RAB35
AVP	AVP	AVP,AVPR1A,AVPR1B,ADH1B,ADH1A,OXT,ADH1C,ADH7,ADH4,ADH6,ALDH2
AVPI1	AVPI1	AVPI1,SAMD10,KRTAP12-2,ALKBH7,NCKIPSD,C5orf30,PDE6G,CACNG7,MARVELD1,SIK1,MRPS10
AVPR1A	AVPR1A	AVPR1A,AVP,VIP,OXT,GNAQ,AVPR1B,GNA11,GNA12,GNA13,GNA14,AGT
AVPR1B	AVPR1B	AVPR1B,AVP,GNAQ,AVPR1A,GNA12,GNA13,GNA11,OXT,CRHR1,POMC,CRH
AXDND1	AXDND1	AXDND1,C19orf81,PRR30,UMODL1,KIF27,BCAS3,ARL14,EPS8L3,C20orf85,GAREM1,NT5C1B-RDH14
AXIN1	AXIN1	AXIN1,BTRC,GSK3A,CTNNB1,DVL1,AXIN2,LRP6,APC,CSNK1A1,GSK3B,DVL2
AXIN2	AXIN2	AXIN2,AXIN1,APC,GSK3B,CTNNB1,CSNK1A1,DVL1,TCF7,APC2,DVL2,TNKS2
AXL	AXL	AXL,GAS6,PROS1,SRC,SHC1,PLCG1,GRB2,GAB1,IFNAR1,PLCG2,JAK2
AZGP1	AZGP1	AZGP1,PIP,KLK3,GC,APOH,AHSG,ORM1,HPX,HP,RBP4,ACPP
AZI2	AZI2	AZI2,TBK1,TNF,IKBKE,TANK,TAX1BP1,CALCOCO2,TBKBP1,TRAF3,RB1CC1,EXOC2
AZIN1	AZIN1	AZIN1,OAZ1,OAZ3,OAZ2,AASS,SRM,KLC1,AGMAT,PBLD,ADAR,KIF5B
AZIN2	AZIN2	AZIN2,AGMAT,ARG2,ARG1,OAZ3,GATM,OAZ2,OAZ1,NOS1,NOS3,ASL
AZU1	AZU1	AZU1,PRTN3,ELANE,MPO,CTSG,BPI,RNASE3,DEFA4,CEACAM8,LTF,PTN
B2M	B2M	B2M,CD1C,HLA-E,CD1A,FCGRT,HLA-C,HLA-B,CD1D,PDIA3,HLA-A,HFE
